cluster_year,n_collapses,n_regions,has_stressor,civilisations,stressors
-2139,2,1,True,Sumerian City-States|Akkadian Empire,4.2 Kiloyear Event
-1131,4,4,True,Ancient Egypt - New Kingdom|Hittite Empire|Mycenaean Greece|Shang Dynasty,Late Bronze Age Drought|Sea Peoples Migrations|Bronze Age Collapse
-236,7,5,True,Achaemenid Persian Empire|Classical Greece|Macedonian Empire|Maurya Empire|Qin Dynasty|Carthage|Zhou Dynasty,Roman Climate Optimum
1288,21,6,True,Byzantine Empire|Abbasid Caliphate|Song Dynasty|Yuan Dynasty|Mongol Empire|Chola Dynasty|Ghana Empire|Khmer Empire|Srivijaya Empire|Kievan Rus|Goryeo|Jin Empire|Xixia|Pagan Empire|Ilkhanate|Fatimid Caliphate|Seljuk Empire|Chagatai Khanate|Ghaznavid Emirate|Almohad Caliphate|Angevin Empire,Medieval Warm Period|Little Ice Age|Black Death|Mongol Conquests
1856,32,5,True,Ottoman Empire|Mughal Empire|Qing Dynasty|Holy Roman Empire|Spanish Empire|Napoleonic Empire|Austro-Hungarian Empire|German Empire and Third Reich|Italian Colonial Empire|Empire of Japan|French Colonial Empire|British Empire|Russian Empire and USSR|Portuguese Empire|Maratha Empire|Kanem-Bornu Empire|Kingdom of Kongo|Ethiopian Empire|Sokoto Caliphate|Kingdom of Benin|Asante Empire|Kingdom of France|Republic of Venice|Tokugawa Shogunate|Ayutthaya|Dai Viet|Safavid Empire|Polish-Lithuanian Commonwealth|Dahomey|Buganda|Funj Sultanate|Wadai Empire,Little Ice Age|Year Without a Summer|Spanish Flu|World War I|World War II
